id,no,kode_wilayah_kemendagri,kode_wilayah_bps,kabupaten,komoditas,kebutuhan,ketersediaan,neraca,satuan,minggu_ke,bulan,tahun,status
427,427,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,59.9,11.45505,TON,4,SEPTEMBER,2022,SURPLUS
428,428,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,23.325,1.329397783,TON,4,SEPTEMBER,2022,SURPLUS
429,429,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,93.65,3.324634451,TON,4,SEPTEMBER,2022,SURPLUS
430,430,32.18,3218,PANGANDARAN,BERAS,803.4190153,3077.3875,2273.968485,TON,1,OKTOBER,2022,SURPLUS
431,431,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,40.485,40.11877281,TON,1,OKTOBER,2022,SURPLUS
432,432,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,23.96,0.595592955,TON,1,OKTOBER,2022,SURPLUS
433,433,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,11.065,1.335187539,TON,1,OKTOBER,2022,SURPLUS
434,434,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,4.55,2.272745883,TON,1,OKTOBER,2022,SURPLUS
435,435,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,16.69,1.147397753,TON,1,OKTOBER,2022,SURPLUS
436,436,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,7.75,3.90624144,TON,1,OKTOBER,2022,SURPLUS
437,437,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,108.5,50.48603789,TON,1,OKTOBER,2022,SURPLUS
438,438,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,57.45,9.00505,TON,1,OKTOBER,2022,SURPLUS
439,439,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,23.99,1.994397783,TON,1,OKTOBER,2022,SURPLUS
440,440,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,105.83,15.50463445,TON,1,OKTOBER,2022,SURPLUS
441,441,32.18,3218,PANGANDARAN,BERAS,803.4190153,3073.5375,2270.118485,TON,2,OKTOBER,2022,SURPLUS
442,442,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,40.275,39.90877281,TON,2,OKTOBER,2022,SURPLUS
443,443,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,23.295,-0.06940705,TON,2,OKTOBER,2022,DEFISIT
444,444,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,10.4,0.670187539,TON,2,OKTOBER,2022,SURPLUS
445,445,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,4.585,2.307745883,TON,2,OKTOBER,2022,SURPLUS
446,446,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,16.725,1.182397753,TON,2,OKTOBER,2022,SURPLUS
447,447,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,7.75,3.90624144,TON,2,OKTOBER,2022,SURPLUS
448,448,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,108.5,50.48603789,TON,2,OKTOBER,2022,SURPLUS
449,449,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,57.45,9.00505,TON,2,OKTOBER,2022,SURPLUS
450,450,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,24.655,2.659397783,TON,2,OKTOBER,2022,SURPLUS
451,451,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,101.49,11.16463445,TON,2,OKTOBER,2022,SURPLUS
452,452,32.18,3218,PANGANDARAN,BERAS,803.4190153,3068.2875,2264.868485,TON,3,OKTOBER,2022,SURPLUS
453,453,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,39.575,39.20877281,TON,3,OKTOBER,2022,SURPLUS
454,454,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,23.295,-0.06940705,TON,3,OKTOBER,2022,DEFISIT
455,455,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,10.4,0.670187539,TON,3,OKTOBER,2022,SURPLUS
456,456,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,4.585,2.307745883,TON,3,OKTOBER,2022,SURPLUS
457,457,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,16.725,1.182397753,TON,3,OKTOBER,2022,SURPLUS
458,458,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,7.75,3.90624144,TON,3,OKTOBER,2022,SURPLUS
459,459,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,108.5,50.48603789,TON,3,OKTOBER,2022,SURPLUS
460,460,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,57.45,9.00505,TON,3,OKTOBER,2022,SURPLUS
461,461,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,24.655,2.659397783,TON,3,OKTOBER,2022,SURPLUS
462,462,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,91.49,1.164634451,TON,3,OKTOBER,2022,SURPLUS
463,463,32.18,3218,PANGANDARAN,BERAS,803.4190153,3074.9375,2271.518485,TON,4,OKTOBER,2022,SURPLUS
464,464,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,39.4,39.03377281,TON,4,OKTOBER,2022,SURPLUS
465,465,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,23.365,0.000592955,TON,4,OKTOBER,2022,SURPLUS
466,466,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,10.155,0.425187539,TON,4,OKTOBER,2022,SURPLUS
467,467,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,4.515,2.237745883,TON,4,OKTOBER,2022,SURPLUS
468,468,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,16.9,1.357397753,TON,4,OKTOBER,2022,SURPLUS
469,469,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,8.45,4.60624144,TON,4,OKTOBER,2022,SURPLUS
470,470,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,108.5,50.48603789,TON,4,OKTOBER,2022,SURPLUS
471,471,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,58.15,9.70505,TON,4,OKTOBER,2022,SURPLUS
472,472,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,24.69,2.694397783,TON,4,OKTOBER,2022,SURPLUS
473,473,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,85.54,-4.78536555,TON,4,OKTOBER,2022,DEFISIT
474,474,32.18,3218,PANGANDARAN,BERAS,803.4190153,3073.1875,2269.768485,TON,5,OKTOBER,2022,SURPLUS
475,475,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,40.8,40.43377281,TON,5,OKTOBER,2022,SURPLUS
476,476,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,23.33,-0.03440705,TON,5,OKTOBER,2022,DEFISIT
477,477,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,10.82,1.090187539,TON,5,OKTOBER,2022,SURPLUS
478,478,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,4.515,2.237745883,TON,5,OKTOBER,2022,SURPLUS
479,479,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,16.935,1.392397753,TON,5,OKTOBER,2022,SURPLUS
480,480,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,8.8,4.95624144,TON,5,OKTOBER,2022,SURPLUS
481,481,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,108.5,50.48603789,TON,5,OKTOBER,2022,SURPLUS
482,482,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,54.65,6.20505,TON,5,OKTOBER,2022,SURPLUS
483,483,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,26.09,4.094397783,TON,5,OKTOBER,2022,SURPLUS
484,484,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,92.82,2.494634451,TON,5,OKTOBER,2022,SURPLUS
485,485,32.18,3218,PANGANDARAN,BERAS,803.4190153,1843.49524,1040.076225,TON,1,NOVEMBER,2022,SURPLUS
486,486,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,40.73,40.36377281,TON,1,NOVEMBER,2022,SURPLUS
487,487,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,21.295,-2.06940705,TON,1,NOVEMBER,2022,DEFISIT
488,488,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,10.82,1.090187539,TON,1,NOVEMBER,2022,SURPLUS
489,489,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,4.935,2.657745883,TON,1,NOVEMBER,2022,SURPLUS
490,490,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,17.075,1.532397753,TON,1,NOVEMBER,2022,SURPLUS
491,491,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,8.38,4.53624144,TON,1,NOVEMBER,2022,SURPLUS
492,492,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,109.095,51.08103789,TON,1,NOVEMBER,2022,SURPLUS
493,493,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,58.185,9.74005,TON,1,NOVEMBER,2022,SURPLUS
494,494,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,27.77,5.774397783,TON,1,NOVEMBER,2022,SURPLUS
495,495,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,89.595,-0.73036555,TON,1,NOVEMBER,2022,DEFISIT
496,496,32.18,3218,PANGANDARAN,BERAS,803.4190153,1846.29524,1042.876225,TON,2,NOVEMBER,2022,SURPLUS
497,497,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,40.975,40.60877281,TON,2,NOVEMBER,2022,SURPLUS
498,498,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,22.135,-1.22940705,TON,2,NOVEMBER,2022,DEFISIT
499,499,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,11.73,2.000187539,TON,2,NOVEMBER,2022,SURPLUS
500,500,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,4.865,2.587745883,TON,2,NOVEMBER,2022,SURPLUS
501,501,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,17.04,1.497397753,TON,2,NOVEMBER,2022,SURPLUS
502,502,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,8.45,4.60624144,TON,2,NOVEMBER,2022,SURPLUS
503,503,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,108.15,50.13603789,TON,2,NOVEMBER,2022,SURPLUS
504,504,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,53.6,5.15505,TON,2,NOVEMBER,2022,SURPLUS
505,505,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,26.09,4.094397783,TON,2,NOVEMBER,2022,SURPLUS
506,506,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,85.01,-5.31536555,TON,2,NOVEMBER,2022,DEFISIT
507,507,32.18,3218,PANGANDARAN,BERAS,803.4190153,1846.29524,1042.876225,TON,3,NOVEMBER,2022,SURPLUS
508,508,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,40.975,40.60877281,TON,3,NOVEMBER,2022,SURPLUS
509,509,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,27.135,3.770592955,TON,3,NOVEMBER,2022,SURPLUS
510,510,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,11.73,2.000187539,TON,3,NOVEMBER,2022,SURPLUS
511,511,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,4.865,2.587745883,TON,3,NOVEMBER,2022,SURPLUS
512,512,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,17.04,1.497397753,TON,3,NOVEMBER,2022,SURPLUS
513,513,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,8.45,4.60624144,TON,3,NOVEMBER,2022,SURPLUS
514,514,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,108.15,50.13603789,TON,3,NOVEMBER,2022,SURPLUS
515,515,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,53.6,5.15505,TON,3,NOVEMBER,2022,SURPLUS
516,516,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,26.16,4.164397783,TON,3,NOVEMBER,2022,SURPLUS
517,517,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,89.01,-1.31536555,TON,3,NOVEMBER,2022,DEFISIT
518,518,32.18,3218,PANGANDARAN,BERAS,803.4190153,1844.19524,1040.776225,TON,4,NOVEMBER,2022,SURPLUS
519,519,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,41.325,40.95877281,TON,4,NOVEMBER,2022,SURPLUS
520,520,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,26.4,3.035592955,TON,4,NOVEMBER,2022,SURPLUS
521,521,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,11.03,1.300187539,TON,4,NOVEMBER,2022,SURPLUS
522,522,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,4.9,2.622745883,TON,4,NOVEMBER,2022,SURPLUS
523,523,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,17.18,1.637397753,TON,4,NOVEMBER,2022,SURPLUS
524,524,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,6.14,2.29624144,TON,4,NOVEMBER,2022,SURPLUS
525,525,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,108.15,50.13603789,TON,4,NOVEMBER,2022,SURPLUS
526,526,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,67.95,19.50505,TON,4,NOVEMBER,2022,SURPLUS
527,527,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,26.09,4.094397783,TON,4,NOVEMBER,2022,SURPLUS
528,528,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,88.38,-1.94536555,TON,4,NOVEMBER,2022,DEFISIT
529,529,32.18,3218,PANGANDARAN,BERAS,803.4190153,1791.2375,987.8184847,TON,1,DESEMBER,2022,SURPLUS
530,530,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,41.15,40.78377281,TON,1,DESEMBER,2022,SURPLUS
531,531,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,26.4,3.035592955,TON,1,DESEMBER,2022,SURPLUS
532,532,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,11.03,1.300187539,TON,1,DESEMBER,2022,SURPLUS
533,533,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,4.9,2.622745883,TON,1,DESEMBER,2022,SURPLUS
534,534,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,17.18,1.637397753,TON,1,DESEMBER,2022,SURPLUS
535,535,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,8.1,4.25624144,TON,1,DESEMBER,2022,SURPLUS
536,536,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,108.15,50.13603789,TON,1,DESEMBER,2022,SURPLUS
537,537,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,55.35,6.90505,TON,1,DESEMBER,2022,SURPLUS
538,538,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,26.23,4.234397783,TON,1,DESEMBER,2022,SURPLUS
539,539,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,85.86,-4.46536555,TON,1,DESEMBER,2022,DEFISIT
540,540,32.18,3218,PANGANDARAN,BERAS,803.4190153,1793.025,989.6059847,TON,2,DESEMBER,2022,SURPLUS
541,541,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,41.15,40.78377281,TON,2,DESEMBER,2022,SURPLUS
542,542,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,27.1,3.735592955,TON,2,DESEMBER,2022,SURPLUS
543,543,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,10.82,1.090187539,TON,2,DESEMBER,2022,SURPLUS
544,544,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,4.725,2.447745883,TON,2,DESEMBER,2022,SURPLUS
545,545,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,16.69,1.147397753,TON,2,DESEMBER,2022,SURPLUS
546,546,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,6.7,2.85624144,TON,2,DESEMBER,2022,SURPLUS
547,547,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,107.94,49.92603789,TON,2,DESEMBER,2022,SURPLUS
548,548,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,53.95,5.50505,TON,2,DESEMBER,2022,SURPLUS
549,549,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,26.265,4.269397783,TON,2,DESEMBER,2022,SURPLUS
550,550,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,97.65,7.324634451,TON,2,DESEMBER,2022,SURPLUS
551,551,32.18,3218,PANGANDARAN,BERAS,803.4190153,1790.19,986.7709847,TON,3,DESEMBER,2022,SURPLUS
552,552,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,40.065,39.69877281,TON,3,DESEMBER,2022,SURPLUS
553,553,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,26.33,2.965592955,TON,3,DESEMBER,2022,SURPLUS
554,554,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,10.155,0.425187539,TON,3,DESEMBER,2022,SURPLUS
555,555,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,4.62,2.342745883,TON,3,DESEMBER,2022,SURPLUS
556,556,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,16.585,1.042397753,TON,3,DESEMBER,2022,SURPLUS
557,557,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,9.15,5.30624144,TON,3,DESEMBER,2022,SURPLUS
558,558,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,108.5,50.48603789,TON,3,DESEMBER,2022,SURPLUS
559,559,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,53.95,5.50505,TON,3,DESEMBER,2022,SURPLUS
560,560,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,26.09,4.094397783,TON,3,DESEMBER,2022,SURPLUS
561,561,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,97.965,7.639634451,TON,3,DESEMBER,2022,SURPLUS
562,562,32.18,3218,PANGANDARAN,BERAS,803.4190153,1792.2875,988.8684847,TON,4,DESEMBER,2022,SURPLUS
563,563,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,40.205,39.83877281,TON,4,DESEMBER,2022,SURPLUS
564,564,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,26.33,2.965592955,TON,4,DESEMBER,2022,SURPLUS
565,565,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,10.82,1.090187539,TON,4,DESEMBER,2022,SURPLUS
566,566,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,4.445,2.167745883,TON,4,DESEMBER,2022,SURPLUS
567,567,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,16.585,1.042397753,TON,4,DESEMBER,2022,SURPLUS
568,568,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,8.625,4.78124144,TON,4,DESEMBER,2022,SURPLUS
569,569,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,108.5,50.48603789,TON,4,DESEMBER,2022,SURPLUS
570,570,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,53.775,5.33005,TON,4,DESEMBER,2022,SURPLUS
571,571,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,24.62,2.624397783,TON,4,DESEMBER,2022,SURPLUS
572,572,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,97.615,7.289634451,TON,4,DESEMBER,2022,SURPLUS
573,573,32.18,3218,PANGANDARAN,BERAS,804.32,1791.5875,987.2675,TON,1,JANUARI,2023,SURPLUS
574,574,32.18,3218,PANGANDARAN,JAGUNG,0.36,40.66,40.3,TON,1,JANUARI,2023,SURPLUS
575,575,32.18,3218,PANGANDARAN,BAWANG MERAH,23.4,26.365,2.965,TON,1,JANUARI,2023,SURPLUS
576,576,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,10.855,1.125,TON,1,JANUARI,2023,SURPLUS
577,577,32.18,3218,PANGANDARAN,CABAI BESAR,2.27,4.935,2.665,TON,1,JANUARI,2023,SURPLUS
578,578,32.18,3218,PANGANDARAN,CABAI RAWIT,15.55,17.04,1.49,TON,1,JANUARI,2023,SURPLUS
579,579,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.85,9.15,5.3,TON,1,JANUARI,2023,SURPLUS
580,580,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.09,108.843,50.753,TON,1,JANUARI,2023,SURPLUS
581,581,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.51,62.7,14.19,TON,1,JANUARI,2023,SURPLUS
582,582,32.18,3218,PANGANDARAN,GULA PASIR,22.01,26.23,4.22,TON,1,JANUARI,2023,SURPLUS
583,583,32.18,3218,PANGANDARAN,MINYAK GORENG,90.43,100.94,10.51,TON,1,JANUARI,2023,SURPLUS
584,584,32.18,3218,PANGANDARAN,BERAS,804.32,1790.5375,986.2175,TON,2,JANUARI,2023,SURPLUS
585,585,32.18,3218,PANGANDARAN,JAGUNG,0.36,40.66,40.3,TON,2,JANUARI,2023,SURPLUS
586,586,32.18,3218,PANGANDARAN,BAWANG MERAH,23.4,26.225,2.825,TON,2,JANUARI,2023,SURPLUS
587,587,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,10.995,1.265,TON,2,JANUARI,2023,SURPLUS
588,588,32.18,3218,PANGANDARAN,CABAI BESAR,2.27,4.865,2.595,TON,2,JANUARI,2023,SURPLUS
589,589,32.18,3218,PANGANDARAN,CABAI RAWIT,15.55,17.18,1.63,TON,2,JANUARI,2023,SURPLUS
590,590,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.85,9.045,5.195,TON,2,JANUARI,2023,SURPLUS
591,591,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.09,108.85,50.76,TON,2,JANUARI,2023,SURPLUS
592,592,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.51,53.25,4.74,TON,2,JANUARI,2023,SURPLUS
593,593,32.18,3218,PANGANDARAN,GULA PASIR,22.01,26.16,4.15,TON,2,JANUARI,2023,SURPLUS
594,594,32.18,3218,PANGANDARAN,MINYAK GORENG,90.43,91.14,0.71,TON,2,JANUARI,2023,SURPLUS
595,595,32.18,3218,PANGANDARAN,BERAS,804.32,1791.2375,986.9175,TON,3,JANUARI,2023,SURPLUS
596,596,32.18,3218,PANGANDARAN,JAGUNG,0.36,1.96,1.6,TON,3,JANUARI,2023,SURPLUS
597,597,32.18,3218,PANGANDARAN,BAWANG MERAH,23.4,7.425,-15.975,TON,3,JANUARI,2023,DEFISIT
598,598,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,10.995,1.265,TON,3,JANUARI,2023,SURPLUS
599,599,32.18,3218,PANGANDARAN,CABAI BESAR,2.27,10.365,8.095,TON,3,JANUARI,2023,SURPLUS
600,600,32.18,3218,PANGANDARAN,CABAI RAWIT,15.55,5.18,-10.37,TON,3,JANUARI,2023,DEFISIT
601,601,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.85,25.8205,21.9705,TON,3,JANUARI,2023,SURPLUS
602,602,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.09,45.02275,-13.06725,TON,3,JANUARI,2023,DEFISIT
603,603,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.51,103.30425,54.79425,TON,3,JANUARI,2023,SURPLUS
604,604,32.18,3218,PANGANDARAN,GULA PASIR,22.01,23.76,1.75,TON,3,JANUARI,2023,SURPLUS
605,605,32.18,3218,PANGANDARAN,MINYAK GORENG,90.43,92.14,1.71,TON,3,JANUARI,2023,SURPLUS
606,606,32.18,3218,PANGANDARAN,BERAS,804.32,1794.0375,989.7175,TON,4,JANUARI,2023,SURPLUS
607,607,32.18,3218,PANGANDARAN,JAGUNG,0.36,1.96,1.6,TON,4,JANUARI,2023,SURPLUS
608,608,32.18,3218,PANGANDARAN,BAWANG MERAH,23.4,6.865,-16.535,TON,4,JANUARI,2023,DEFISIT
609,609,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,10.925,1.195,TON,4,JANUARI,2023,SURPLUS
610,610,32.18,3218,PANGANDARAN,CABAI BESAR,2.27,10.47,8.2,TON,4,JANUARI,2023,SURPLUS
611,611,32.18,3218,PANGANDARAN,CABAI RAWIT,15.55,5.18,-10.37,TON,4,JANUARI,2023,DEFISIT
612,612,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.85,25.2255,21.3755,TON,4,JANUARI,2023,SURPLUS
613,613,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.09,43.06275,-15.02725,TON,4,JANUARI,2023,DEFISIT
614,614,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.51,105.40425,56.89425,TON,4,JANUARI,2023,SURPLUS
615,615,32.18,3218,PANGANDARAN,GULA PASIR,22.01,26.125,4.115,TON,4,JANUARI,2023,SURPLUS
616,616,32.18,3218,PANGANDARAN,MINYAK GORENG,90.43,93.75,3.32,TON,4,JANUARI,2023,SURPLUS
617,617,32.18,3218,PANGANDARAN,BERAS,804.32,1790.8875,986.5675,TON,5,JANUARI,2023,SURPLUS
618,618,32.18,3218,PANGANDARAN,JAGUNG,0.36,2.59,2.23,TON,5,JANUARI,2023,SURPLUS
619,619,32.18,3218,PANGANDARAN,BAWANG MERAH,23.4,7.53,-15.87,TON,5,JANUARI,2023,DEFISIT
620,620,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,10.96,1.23,TON,5,JANUARI,2023,SURPLUS
621,621,32.18,3218,PANGANDARAN,CABAI BESAR,2.27,10.47,8.2,TON,5,JANUARI,2023,SURPLUS
622,622,32.18,3218,PANGANDARAN,CABAI RAWIT,15.55,6.88,-8.67,TON,5,JANUARI,2023,DEFISIT
623,623,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.85,26.2755,22.4255,TON,5,JANUARI,2023,SURPLUS
624,624,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.09,43.62275,-14.46725,TON,5,JANUARI,2023,DEFISIT
625,625,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.51,105.40425,56.89425,TON,5,JANUARI,2023,SURPLUS
626,626,32.18,3218,PANGANDARAN,GULA PASIR,22.01,24.725,2.715,TON,5,JANUARI,2023,SURPLUS
627,627,32.18,3218,PANGANDARAN,MINYAK GORENG,90.43,99.91,9.48,TON,5,JANUARI,2023,SURPLUS
628,628,32.18,3218,PANGANDARAN,BERAS,804.32,1790.8875,986.5675,TON,1,FEBRUARI,2023,SURPLUS
629,629,32.18,3218,PANGANDARAN,JAGUNG,0.36,2.59,2.23,TON,1,FEBRUARI,2023,SURPLUS
630,630,32.18,3218,PANGANDARAN,BAWANG MERAH,23.4,7.53,-15.87,TON,1,FEBRUARI,2023,DEFISIT
631,631,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,10.96,1.23,TON,1,FEBRUARI,2023,SURPLUS
632,632,32.18,3218,PANGANDARAN,CABAI BESAR,2.27,10.47,8.2,TON,1,FEBRUARI,2023,SURPLUS
633,633,32.18,3218,PANGANDARAN,CABAI RAWIT,15.55,6.88,-8.67,TON,1,FEBRUARI,2023,DEFISIT
