id,no,kode_wilayah_kemendagri,kode_wilayah_bps,kabupaten,komoditas,kebutuhan,ketersediaan,neraca,satuan,minggu_ke,bulan,tahun,status
132,132,32.18,3218,PANGANDARAN,MINYAK GORENG,90.33,18.89,-71.44,TON,4,MARET,2022,DEFISIT
133,133,32.18,3218,PANGANDARAN,BERAS,803.42,9042.611159,8239.191159,TON,5,MARET,2022,SURPLUS
134,134,32.18,3218,PANGANDARAN,JAGUNG,0.37,11.045,10.675,TON,5,MARET,2022,SURPLUS
135,135,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36,8.82,-14.54,TON,5,MARET,2022,DEFISIT
136,136,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,4.2,-5.53,TON,5,MARET,2022,DEFISIT
137,137,32.18,3218,PANGANDARAN,CABAI BESAR,2.28,9.72,7.44,TON,5,MARET,2022,SURPLUS
138,138,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54,13.875,-1.665,TON,5,MARET,2022,DEFISIT
139,139,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84,14.4,10.56,TON,5,MARET,2022,SURPLUS
140,140,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01,103.95,45.94,TON,5,MARET,2022,SURPLUS
141,141,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44,113.32,64.88,TON,5,MARET,2022,SURPLUS
142,142,32.18,3218,PANGANDARAN,GULA PASIR,22,21.055,-0.945,TON,5,MARET,2022,DEFISIT
143,143,32.18,3218,PANGANDARAN,MINYAK GORENG,90.33,17.49,-72.84,TON,5,MARET,2022,DEFISIT
144,144,32.18,3218,PANGANDARAN,BERAS,803.4190153,2244.632053,1441.213038,TON,1,APRIL,2022,SURPLUS
145,145,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,11.4,11.03377281,TON,1,APRIL,2022,SURPLUS
146,146,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,12.865,-10.499407,TON,1,APRIL,2022,DEFISIT
147,147,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,6.76,-2.96981246,TON,1,APRIL,2022,DEFISIT
148,148,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,18.105,15.82774588,TON,1,APRIL,2022,SURPLUS
149,149,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,20.56,5.017397753,TON,1,APRIL,2022,SURPLUS
150,150,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,22.563,18.71924144,TON,1,APRIL,2022,SURPLUS
151,151,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,58.155,0.141037891,TON,1,APRIL,2022,SURPLUS
152,152,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,57.825,9.38005,TON,1,APRIL,2022,SURPLUS
153,153,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,52.793,30.79739778,TON,1,APRIL,2022,SURPLUS
154,154,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,152.037,61.71163445,TON,1,APRIL,2022,SURPLUS
155,155,32.18,3218,PANGANDARAN,BERAS,803.42,2278.58,1475.16,TON,2,APRIL,2022,SURPLUS
156,156,32.18,3218,PANGANDARAN,JAGUNG,0.37,12.45,12.08,TON,2,APRIL,2022,SURPLUS
157,157,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36,12.9,-10.46,TON,2,APRIL,2022,DEFISIT
158,158,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,7.25,-2.48,TON,2,APRIL,2022,DEFISIT
159,159,32.18,3218,PANGANDARAN,CABAI BESAR,2.28,16.05,13.77,TON,2,APRIL,2022,SURPLUS
160,160,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54,21.12,5.58,TON,2,APRIL,2022,DEFISIT
161,161,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84,23.403,19.563,TON,2,APRIL,2022,SURPLUS
162,162,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01,60.955,2.945,TON,2,APRIL,2022,SURPLUS
163,163,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44,53.8,5.36,TON,2,APRIL,2022,SURPLUS
164,164,32.18,3218,PANGANDARAN,GULA PASIR,22,53.15,31.15,TON,2,APRIL,2022,SURPLUS
165,165,32.18,3218,PANGANDARAN,MINYAK GORENG,90.33,157.14,66.81,TON,2,APRIL,2022,SURPLUS
166,166,32.18,3218,PANGANDARAN,BERAS,803.4190153,2246.382053,1442.963038,TON,3,APRIL,2022,SURPLUS
167,167,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,11.75,11.38377281,TON,3,APRIL,2022,SURPLUS
168,168,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,12.9,-10.464407,TON,3,APRIL,2022,DEFISIT
169,169,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,6.655,-3.07481246,TON,3,APRIL,2022,DEFISIT
170,170,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,16.015,13.73774588,TON,3,APRIL,2022,SURPLUS
171,171,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,19.39,3.847397753,TON,3,APRIL,2022,SURPLUS
172,172,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,60.955,57.11124144,TON,3,APRIL,2022,SURPLUS
173,173,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,70.26,12.24603789,TON,3,APRIL,2022,SURPLUS
174,174,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,59.4,10.95505,TON,3,APRIL,2022,SURPLUS
175,175,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,52.59,30.59439778,TON,3,APRIL,2022,SURPLUS
176,176,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,160.843,70.51763445,TON,3,APRIL,2022,SURPLUS
177,177,32.18,3218,PANGANDARAN,BERAS,803.4190153,2244.282053,1440.863038,TON,4,APRIL,2022,SURPLUS
178,178,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,12.59,12.22377281,TON,4,APRIL,2022,SURPLUS
179,179,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,12.69,-10.674407,TON,4,APRIL,2022,DEFISIT
180,180,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,6.62,-3.10981246,TON,4,APRIL,2022,DEFISIT
181,181,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,13.48,11.20274588,TON,4,APRIL,2022,SURPLUS
182,182,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,19.18,3.637397753,TON,4,APRIL,2022,SURPLUS
183,183,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,61.655,57.81124144,TON,4,APRIL,2022,SURPLUS
184,184,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,73.11,15.09603789,TON,4,APRIL,2022,SURPLUS
185,185,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,65.7,17.25505,TON,4,APRIL,2022,SURPLUS
186,186,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,51.89,29.89439778,TON,4,APRIL,2022,SURPLUS
187,187,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,152.499,62.17363445,TON,4,APRIL,2022,SURPLUS
188,188,32.18,3218,PANGANDARAN,BERAS,803.4190153,2119.63843,1316.219415,TON,1,MEI,2022,SURPLUS
189,189,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,8.66,8.293772809,TON,1,MEI,2022,SURPLUS
190,190,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,5.89,-17.474407,TON,1,MEI,2022,DEFISIT
191,191,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,3.47,-6.25981246,TON,1,MEI,2022,DEFISIT
192,192,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,8.405,6.127745883,TON,1,MEI,2022,SURPLUS
193,193,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,15.54,-0.00260225,TON,1,MEI,2022,DEFISIT
194,194,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,10.65,6.80624144,TON,1,MEI,2022,SURPLUS
195,195,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,84.06,26.04603789,TON,1,MEI,2022,SURPLUS
196,196,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,105,56.55505,TON,1,MEI,2022,SURPLUS
197,197,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,20.49,-1.50560222,TON,1,MEI,2022,DEFISIT
198,198,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,17.55,-72.7753655,TON,1,MEI,2022,DEFISIT
199,199,32.18,3218,PANGANDARAN,BERAS,803.4190153,2119.98843,1316.569415,TON,2,MEI,2022,SURPLUS
200,200,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,7.82,7.453772809,TON,2,MEI,2022,SURPLUS
201,201,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,5.89,-17.474407,TON,2,MEI,2022,DEFISIT
202,202,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,4.54,-5.18981246,TON,2,MEI,2022,DEFISIT
203,203,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,8.44,6.162745883,TON,2,MEI,2022,SURPLUS
204,204,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,34.065,18.52239775,TON,2,MEI,2022,SURPLUS
205,205,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,11,7.15624144,TON,2,MEI,2022,SURPLUS
206,206,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,84.69,26.67603789,TON,2,MEI,2022,SURPLUS
207,207,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,98.86,50.41505,TON,2,MEI,2022,SURPLUS
208,208,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,23.51,1.514397783,TON,2,MEI,2022,SURPLUS
209,209,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,22.59,-67.7353655,TON,2,MEI,2022,DEFISIT
210,210,32.18,3218,PANGANDARAN,BERAS,803.4190153,2119.98843,1316.569415,TON,3,MEI,2022,SURPLUS
211,211,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,7.82,7.453772809,TON,3,MEI,2022,SURPLUS
212,212,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,5.89,-17.474407,TON,3,MEI,2022,DEFISIT
213,213,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,3.54,-6.18981246,TON,3,MEI,2022,DEFISIT
214,214,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,8.44,6.162745883,TON,3,MEI,2022,SURPLUS
215,215,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,15.765,0.222397753,TON,3,MEI,2022,SURPLUS
